Dataset: chicago2016.txt
n: 31166491
epsilon: 0.1

=== Evaluación de RANK ===
Valor,Rank_Real,Rank_Estimado,Error_Absoluto,Error_Normalizado,Error_Esperado
46,1232396,0,1232396,0.0395423,3.11665e+06
56,4082041,588700,3493341,0.112086,3.11665e+06
110,6234171,5122224,1111947,0.0356776,3.11665e+06
241,9352143,8221982,1130161,0.0362621,3.11665e+06
1404,12660229,10789012,1871217,0.0600394,3.11665e+06
1458,20310667,13904879,6405788,0.205534,3.11665e+06
1458,20310667,13904879,6405788,0.205534,3.11665e+06
1484,21829219,20412968,1416251,0.0454415,3.11665e+06
1504,31166491,21000878,10165613,0.326171,3.11665e+06
1504,31166491,21000878,10165613,0.326171,3.11665e+06
1504,31166491,21000878,10165613,0.326171,3.11665e+06
46,1232396,0,1232396,0.0395423,3.11665e+06
1504,31166491,21000878,10165613,0.326171,3.11665e+06

Estadísticas RANK:
Error máximo absoluto: 1.01656e+07
Error promedio absoluto: 4.99706e+06
Error máximo normalizado: 0.326171
Error promedio normalizado: 0.160334
Error esperado (εn): 3.11665e+06
Epsilon: 0.1

=== Evaluación de QUANTILE ===
Phi,Rank_Teorico,Quantile_Real,Quantile_Estimado,Rank_Estimado,Error_Rank_Abs,Error_Rank_Norm,Error_Esperado
0,0,46,46,1232396,1232396,0.0395423,3.11665e+06
0.05,1558324,52,56,4082041,2523717,0.0809753,3.11665e+06
0.1,3116649,56,56,4082041,965392,0.0309753,3.11665e+06
0.15,4674973,64,91,5812142,1137169,0.0364869,3.11665e+06
0.2,6233298,110,187,7263241,1029943,0.0330465,3.11665e+06
0.25,7791622,204,204,9164457,1372835,0.0440484,3.11665e+06
0.3,9349947,241,573,10331863,981916,0.0315055,3.11665e+06
0.35,10908271,1000,1404,12660229,1751958,0.0562129,3.11665e+06
0.4,12466596,1404,1424,13604443,1137847,0.0365087,3.11665e+06
0.45,14024920,1442,1458,20310667,6285747,0.201683,3.11665e+06
0.5,15583245,1458,1458,20310667,4727422,0.151683,3.11665e+06
0.55,17141570,1458,1458,20310667,3169097,0.101683,3.11665e+06
0.6,18699894,1458,1458,20310667,1610773,0.0516828,3.11665e+06
0.65,20258219,1458,1476,21575116,1316897,0.0422536,3.11665e+06
0.7,21816543,1484,1504,31166491,9349948,0.3,3.11665e+06
0.75,23374868,1504,1504,31166491,7791623,0.25,3.11665e+06
0.8,24933192,1504,1504,31166491,6233299,0.2,3.11665e+06
0.85,26491517,1504,1504,31166491,4674974,0.15,3.11665e+06
0.9,28049841,1504,1504,31166491,3116650,0.1,3.11665e+06
0.95,29608166,1504,1504,31166491,1558325,0.05,3.11665e+06

Estadísticas QUANTILE:
Error máximo absoluto (en rank): 9.34995e+06
Error promedio absoluto (en rank): 3.0984e+06
Error máximo normalizado: 0.3
Error promedio normalizado: 0.0994143
Error esperado (εn): 3.11665e+06
Epsilon: 0.1
